start,end,volume
1.62,8.13,1.0349996137380901
8.13,13.0,0.7949996199032723
13.0,18.82,0.8402031314732648
18.82,24.25,0.8119994673044343
24.25,29.87,0.4949993722544896
29.87,35.57,0.6389996139506601
35.57,41.4,0.5689996075935525
41.4,47.98,0.6669994431213506
47.98,53.71,0.6699996195422435
53.71,59.7,0.6999989893576164
59.7,65.01,0.6659995550535653
65.01,70.53,0.7099996015764792
70.53,76.84,0.6469990471385063
76.84,82.59,0.6539996000234978
82.59,88.32,0.6189995832589724
88.32,94.22,0.6819995474011248
94.22,100.7,0.6529992022507938
100.7,106.57,0.6769995759730492
106.57,112.29,0.6939996096837566
112.29,117.95,0.8527492384149008
117.95,123.44,0.600999451855985
123.44,129.43,0.6879973015258247
129.43,134.92,0.6319995314723704
134.92,140.86,0.660998840685772
140.86,146.96,0.6119996150016147
146.96,153.1,0.6939996087951422
153.1,159.41,0.6219990738646027
159.41,164.88,0.6859996179254365
164.88,170.34,0.6839988508062176
170.34,175.95,0.6120350663995253
175.95,181.02,0.6859989505156454
181.02,187.18,0.6539996080801366
187.18,193.29,0.5229988079692867
193.29,198.91,0.504983104252625
198.91,208.67,0.43899952909833717
208.67,213.26,0.5359989239231839
213.26,218.81,0.5739996023476079
218.81,223.85,0.5689988218629479
223.85,229.78,0.6659993425089801
229.78,235.62,0.7040470307705118
235.62,241.77,0.7099995253649882
241.77,247.66,0.7349995368331392
247.66,254.23,0.7769996058071645
254.23,260.51,0.7409995915334101
260.51,266.61,0.6679994872036705
266.61,272.98,0.7349983410466449
272.98,278.86,0.7879995995450706
278.86,284.61,0.72599961360043
284.61,290.66,0.805998270275418
290.66,296.46,0.6959994695772246
296.46,302.39,0.7349989851525598
302.39,307.84,0.6689996072526739
307.84,313.59,0.629999605995537
313.59,319.8,0.5389996187880325
319.8,325.96,0.6279996089755046
325.96,332.26,0.7319992660771405
332.26,339.03,0.7009988791442114
339.03,345.9,0.6929996104719832
345.9,352.72,0.6359996108472504
352.72,359.28,0.7810370891185293
359.28,365.99,0.9909995966100006
365.99,372.35,0.8399995822553842
372.35,378.68,0.6829996168201926
378.68,385.32,0.5489995683265277
385.32,392.73,0.6999991315971054
392.73,400.06,0.9826586521880607
400.06,407.18,0.7299996184351535
407.18,414.17,0.7679996144337986
414.17,420.35,0.8107222170978369
420.35,424.72,0.7642680347472481
424.72,432.72,0.9188849515477532
432.72,438.47,0.7599995852488861
438.47,443.96,0.746999413158207
443.96,450.06,0.798999602611205
450.06,456.09,0.7469995825175526
456.09,461.98,0.7014858927870175
461.98,468.53,0.7059996302818601
468.53,475.56,0.7139995639213481
475.56,482.47,1.1678055897635051
482.47,488.74,0.7379994929444247
488.74,494.09,0.7249996052543807
494.09,499.42,0.6569996047196048
499.42,504.74,0.7189996050451287
504.74,509.31,0.7359983943483923
509.31,513.47,0.6669923498636285
513.47,519.73,0.5954572728013193
519.73,525.42,0.6079994861855587
525.42,530.58,0.6539996089234141
530.58,535.51,0.662999618315574
535.51,540.52,0.6630522521486027
540.52,545.83,0.621648723377547
545.83,550.89,0.6369996033297668
550.89,555.75,0.6409997387293632
555.75,561.06,0.6259822064321022
561.06,566.89,0.5309996199186953
566.89,571.6,0.5979996110531287
571.6,577.38,0.5624592441899149
577.38,584.04,0.5889996029809768
584.04,592.96,0.6619992310290056
592.96,600.0,0.6589996285191968
600.0,607.53,0.7679996062654979
607.53,614.98,0.5955590987860576
614.98,621.95,0.7349992743501897
