start,end,volume
4.39,10.05,0.7051660786494057
10.05,13.98,0.3112063000576529
13.98,20.06,0.52934073893343
20.06,25.43,0.3639493596984312
25.43,30.93,0.27140496556494564
30.93,36.58,0.2753361864457975
36.58,42.48,0.19228600097719015
42.48,48.92,0.4852257883829198
48.92,54.76,0.3794235308896257
54.76,60.75,0.2509267545306871
60.75,66.03,0.1913361829872876
66.03,71.48,0.2069328607091895
71.48,77.84,0.31183194951625987
77.84,83.5,0.41326628213999733
83.5,89.21,0.33072189479363695
89.21,95.14,0.28500439907411607
95.14,101.67,0.3790496166895493
101.67,107.46,0.42384346525790656
107.46,113.6,0.4331806695390518
113.6,118.92,0.18999724905564883
118.92,124.46,0.19733619425391538
124.46,130.44,0.38866304187991463
130.44,136.09,0.3716943657935071
136.09,141.8,0.1852930006120583
141.8,147.93,0.4690488645269366
147.93,154.05,0.415505158329325
154.05,160.42,0.4241775721726922
160.42,165.84,0.22405646715809313
165.84,171.28,0.21885568079943923
171.28,177.0,0.2429748895235442
177.0,182.69,0.24699932656057388
182.69,188.21,0.2448886884462064
188.21,194.27,0.13197001461946278
194.27,200.05,0.25196817480989936
200.05,203.6,0.06370840279651321
203.6,209.73,0.6062866091012196
209.73,214.36,0.13973096174956934
214.36,219.91,0.22552032504386574
219.91,224.77,0.08186939251039345
224.77,230.73,0.28604508204561785
230.73,236.47,0.376055549854291
236.47,242.59,0.24082510495096102
242.59,248.54,0.46305956218045086
248.54,255.11,0.3433307266061265
255.11,261.4,0.2855001306527879
261.4,267.58,0.2431356105156425
267.58,273.83,0.20535434082683032
273.83,279.79,0.35390894991128624
279.79,285.83,0.22512687795169625
285.83,291.61,0.18325711131122918
291.61,297.49,0.1748153653102228
297.49,303.27,0.19399931647246874
303.27,308.82,0.2240495917012606
308.82,314.49,0.14163683136588784
314.49,320.83,0.1537095203640073
320.83,326.9,0.17009423181287672
326.9,333.23,0.22500587340906092
333.23,340.06,0.31749317794414117
340.06,346.96,0.3503886645853377
346.96,353.76,0.3305987585394699
353.76,360.33,0.5127703319079808
360.33,366.96,0.4496622129075971
366.96,373.42,0.38564947340909167
373.42,379.82,0.18663662308894272
379.82,386.38,0.09382415026565526
386.38,393.69,0.24628173732025704
393.69,401.03,0.5187713306088112
401.03,408.09,0.32928196176099067
408.09,415.01,0.4857966276591246
415.01,421.29,0.5855686037950639
421.29,427.99,0.29873421891587193
427.99,433.75,0.7986487461921787
433.75,439.43,0.3388243764500027
439.43,445.02,0.3656822753765442
445.02,450.99,0.3665098687374519
450.99,457.02,0.4169903711991515
457.02,462.97,0.48692788665529857
462.97,469.64,0.47715865520589906
469.64,476.33,0.34820656449461324
476.33,483.41,1.1830366886960026
483.41,488.78,0.26701901860793004
488.78,495.13,0.28447524074487596
495.13,500.44,0.14927323122972375
500.44,505.78,0.1487107834945182
505.78,510.57,0.13417888999242542
510.57,516.02,0.08418505607984139
516.02,520.79,0.07870268221313034
520.79,526.44,0.18993302215032945
526.44,531.86,0.15595317257746522
531.86,536.64,0.07107350672893893
536.64,542.23,0.18925247059924874
542.23,547.43,0.061906406747315165
547.43,551.95,0.09263437198112834
551.95,556.92,0.08818486102066586
556.92,562.53,0.1461302185132731
562.53,568.11,0.07042550128608283
568.11,573.87,0.10240057753914408
573.87,579.99,0.17338228479667525
579.99,586.72,0.14218101581156734
586.72,594.12,0.2354385604670351
594.12,600.24,0.30581012895997495
600.24,602.01,0.09084987435003296
602.01,608.62,0.11784309652057048
608.62,616.0,0.8248218444569032
616.0,622.99,0.3033829272470958
