start,end,volume
4.8,9.49,0.8862095103958444
9.49,14.29,0.7267876578773813
14.29,18.92,0.6635060401361577
18.92,24.23,0.6870290316965323
24.23,29.84,0.7061063877140579
29.84,35.11,0.6321993801062449
35.11,40.29,0.5679082054055556
40.29,45.74,0.63313496750012
45.74,50.94,0.5409160976201454
50.94,55.99,0.6195451129899768
55.99,60.98,0.5167137035342428
60.98,65.88,0.4745362277016411
65.88,71.09,0.6362130316414606
71.09,76.25,0.5188016796735437
76.25,81.44,0.5531982257852155
81.44,86.9,0.5440838656612225
86.9,92.37,0.6631409477341497
92.37,97.59,0.5060835650327001
97.59,102.99,0.5410553001332746
102.99,108.44,0.5261380702780186
108.44,114.5,0.5291754436900556
114.5,119.82,0.4088225360289564
119.82,124.96,0.6057315837603539
124.96,130.48,0.49481846637111704
130.48,135.43,0.3535004509640978
135.43,140.12,0.4114025079881202
140.12,145.53,0.43261954494099186
145.53,150.89,0.5814048738815037
150.89,156.15,0.40123948954407207
156.15,161.3,0.4188608197768126
161.3,166.16,0.42292958775837797
166.16,176.65,0.7295689840433791
176.65,181.89,0.3260135787325553
181.89,187.08,0.37285759553519643
187.08,192.5,0.48104046989568894
192.5,198.06,0.5164094540424099
198.06,203.07,0.4722109850830891
203.07,208.2,0.4342430912037383
208.2,213.14,0.42140163525688507
213.14,218.2,0.42114777618247673
218.2,223.91,0.2502564449544226
223.91,229.78,0.5794044787582053
229.78,235.62,0.34695555121772215
235.62,240.96,0.4369360452436646
240.96,246.15,0.40861079349621393
246.15,252.13,0.4647193208525298
252.13,257.91,0.6559522946602845
257.91,263.08,0.4684752153297353
263.08,269.16,0.41605899106664335
269.16,275.31,0.7831341751585423
275.31,282.29,1.0563173057225328
282.29,288.12,0.3755224938720061
288.12,293.49,0.3422304747373912
293.49,298.69,0.4063113042411671
298.69,303.82,0.40781941732736854
303.82,309.11,0.4050997896029769
309.11,314.46,0.3805906741756418
314.46,319.94,0.5130298122430152
319.94,325.06,0.3381661742832698
325.06,330.63,0.46656678122767836
330.63,335.91,0.37012273511802873
335.91,341.08,0.419533680972609
341.08,346.0,0.35294711304568743
346.0,351.91,0.5277901213125078
351.91,357.52,0.443214826379504
357.52,363.05,0.5362645516438985
363.05,368.66,0.4832926623158507
368.66,374.23,0.35210880854245213
374.23,380.46,0.45654984503351864
380.46,386.41,0.38565043427939566
386.41,392.26,0.3863991338138588
392.26,398.07,0.316741971098127
398.07,404.18,0.5236957843462222
404.18,410.33,0.3762645275804512
410.33,415.52,0.3352519162276779
415.52,421.0,0.24133132434530438
421.0,427.32,0.2874740144859511
427.32,433.65,0.8643887614492936
433.65,439.03,0.5327471997569575
439.03,443.64,0.3835984429745005
443.64,448.99,0.456264681066245
448.99,454.72,0.43733824078150024
454.72,460.41,0.4553349436765116
460.41,465.85,0.42339222376340846
465.85,471.13,0.38957210250286445
471.13,477.14,0.8487301477018986
477.14,482.67,0.5781380281286796
482.67,488.49,0.3729996118491291
488.49,494.9,0.4072645388286223
494.9,500.02,0.28234508299047634
500.02,506.21,0.9410930613321477
506.21,512.41,0.714239734528734
512.41,518.61,0.6458569777203996
518.61,525.15,0.49275527048099454
525.15,531.28,0.5339064643666503
531.28,537.57,0.693925618016671
537.57,543.5,0.42292084232836147
543.5,549.09,0.3715376261982036
549.09,555.26,0.6124901061812765
555.26,561.2,0.509347683921132
561.2,567.07,0.6453975185854067
567.07,572.36,0.5267327996012117
572.36,578.12,0.5534805505066216
578.12,584.14,0.5386541661640516
584.14,589.97,0.6048641252600241
589.97,596.34,0.7838334489579251
