start,end,volume
4.85,8.94,0.358064465513996
8.94,13.76,0.4269477696528208
13.76,18.27,0.3609971732573878
18.27,23.64,0.3879990721000637
23.64,29.21,0.3489995485155068
29.21,34.45,0.33699956829402083
34.45,39.61,0.31399948998938815
39.61,45.06,0.33199951088236856
45.06,50.31,0.2969991233965058
50.31,55.33,0.3329991774964104
55.33,60.3,0.3479980144048592
60.3,65.22,0.32699896270985046
65.22,70.48,0.3501347913587115
70.48,75.67,0.3469950330662605
75.67,80.71,0.3409994811559704
80.71,86.34,0.31299940884935823
86.34,91.76,0.3379995928513026
91.76,96.97,0.35199947336349063
96.97,102.24,0.36499942904751925
102.24,107.87,0.34499934138563526
107.87,113.74,0.3589996111083369
113.74,119.25,0.2659993384007387
119.25,124.33,0.40499960860797224
124.33,129.62,0.30592100984609233
129.62,134.75,0.4228743895871633
134.75,139.44,0.31099930537437376
139.44,144.94,0.30799894458447546
144.94,150.16,0.3429996119278075
150.16,155.47,0.30199943346905106
155.47,160.64,0.3269995471874796
160.64,165.5,0.3329994028844408
165.5,170.57,0.3119993775837127
170.57,175.83,0.3159994312720498
175.83,181.08,0.2909994544591397
181.08,186.33,0.2839996185976363
186.33,191.9,0.3379993049179511
191.9,197.25,0.3879992187625432
197.25,202.3,0.33599866138054046
202.3,207.46,0.3529991926322288
207.46,212.42,0.30999922850968126
212.42,217.23,0.37899922800573066
217.23,223.3,0.32799914837328586
223.3,228.99,0.3379995999672714
228.99,235.0,0.3319995536594297
235.0,240.36,0.3649995619338936
240.36,245.47,0.3849995288324572
245.47,251.42,0.35999957304241775
251.42,257.18,0.4019770574498726
257.18,262.41,0.361998991851245
262.41,268.34,0.3209996045683818
268.34,274.61,0.44399961264113735
274.61,281.52,0.3869995819055608
281.52,287.47,0.3269996071568137
287.47,292.86,0.344999604372776
292.86,298.09,0.3849996007811794
298.09,303.24,0.4039971319982066
303.24,308.51,0.3859995157434745
308.51,313.82,0.37475792989810053
313.82,319.3,0.37899377540420426
319.3,324.45,0.35099504383850855
324.45,329.96,0.4009996023944228
329.96,335.34,0.389999599191305
335.34,340.49,0.39299956813635545
340.49,345.37,0.36699686064158166
345.37,351.3,0.4119995901409643
351.3,356.94,0.3589996014997994
356.94,362.48,0.4009995907844398
362.48,368.01,0.4119995912249969
368.01,373.64,0.35104672543048715
373.64,379.88,0.41999474875810194
379.88,385.82,0.39799957290888544
385.82,391.51,0.39599960516402805
391.51,397.52,0.3639995973416355
397.52,403.57,0.5359996059068055
403.57,409.78,0.4049996052014755
409.78,414.89,0.3949966177574041
414.89,420.39,0.3599988250283647
420.39,426.74,0.3609996013540781
426.74,433.02,0.40199960185190803
433.02,438.39,0.38288381830804846
438.39,443.05,0.42299479828307174
443.05,448.41,0.4569995767396802
448.41,454.14,0.476999614926306
454.14,459.81,0.47299960276087566
459.81,465.29,0.45799960389204564
465.29,470.6,0.4749981016230243
470.6,476.51,0.5979991692373856
476.51,482.06,0.48899948006915844
482.06,487.92,0.43099961100029655
487.92,494.27,0.4590496137910154
494.27,499.52,0.4309992993312277
499.52,505.67,0.633999548783847
505.67,511.87,0.4949996161748729
511.87,518.03,0.48899960417617594
518.03,524.61,0.44899959427701197
524.61,530.68,0.4439996074209218
530.68,537.01,0.45599960656590394
537.01,542.86,0.4409996040943762
542.86,548.46,0.4349996100411886
548.46,554.71,0.45899959973373294
554.71,560.56,0.4999991896568194
560.56,566.54,0.5149995913377887
566.54,571.85,0.4679996050347052
571.85,577.63,0.45999956306336165
577.63,583.61,0.4899995889112262
583.61,589.34,0.45399961442198683
589.34,595.84,0.4589996022901589
