start,end,volume,start-alveolar,end-alveolar,volume-alveolar,start-dead-space,end-dead-space,volume-dead-space
1.62,8.13,1.740165692387496,4.39,10.05,0.7051660786494057,1.62,8.13,1.0349996137380901
8.13,13.0,1.106205919960925,10.05,13.98,0.3112063000576529,8.13,13.0,0.7949996199032723
13.0,18.82,1.369543870406695,13.98,20.06,0.52934073893343,13.0,18.82,0.8402031314732648
18.82,24.25,1.1759488270028655,20.06,25.43,0.3639493596984312,18.82,24.25,0.8119994673044343
24.25,29.87,0.7664043378194352,25.43,30.93,0.27140496556494564,24.25,29.87,0.4949993722544896
29.87,35.57,0.9143358003964576,30.93,36.58,0.2753361864457975,29.87,35.57,0.6389996139506601
35.57,41.4,0.7612856085707427,36.58,42.48,0.19228600097719015,35.57,41.4,0.5689996075935525
41.4,47.98,1.1522252315042705,42.48,48.92,0.4852257883829198,41.4,47.98,0.6669994431213506
47.98,53.71,1.0494231504318692,48.92,54.76,0.3794235308896257,47.98,53.71,0.6699996195422435
53.71,59.7,0.9509257438883034,54.76,60.75,0.2509267545306871,53.71,59.7,0.6999989893576164
59.7,65.01,0.857335738040853,60.75,66.03,0.1913361829872876,59.7,65.01,0.6659995550535653
65.01,70.53,0.9169324622856687,66.03,71.48,0.2069328607091895,65.01,70.53,0.7099996015764792
70.53,76.84,0.9588309966547661,71.48,77.84,0.31183194951625987,70.53,76.84,0.6469990471385063
76.84,82.59,1.067265882163495,77.84,83.5,0.41326628213999733,76.84,82.59,0.6539996000234978
82.59,88.32,0.9497214780526093,83.5,89.21,0.33072189479363695,82.59,88.32,0.6189995832589724
88.32,94.22,0.9670039464752409,89.21,95.14,0.28500439907411607,88.32,94.22,0.6819995474011248
94.22,100.7,1.0320488189403432,95.14,101.67,0.3790496166895493,94.22,100.7,0.6529992022507938
100.7,106.57,1.1008430412309558,101.67,107.46,0.42384346525790656,100.7,106.57,0.6769995759730492
106.57,112.29,1.1271802792228085,107.46,113.6,0.4331806695390518,106.57,112.29,0.6939996096837566
112.29,117.95,1.0427464874705497,113.6,118.92,0.18999724905564883,112.29,117.95,0.8527492384149008
117.95,123.44,0.7983356461099004,118.92,124.46,0.19733619425391538,117.95,123.44,0.600999451855985
123.44,129.43,1.0766603434057394,124.46,130.44,0.38866304187991463,123.44,129.43,0.6879973015258247
129.43,134.92,1.0036938972658775,130.44,136.09,0.3716943657935071,129.43,134.92,0.6319995314723704
134.92,140.86,0.8462918412978303,136.09,141.8,0.1852930006120583,134.92,140.86,0.660998840685772
140.86,146.96,1.0810484795285513,141.8,147.93,0.4690488645269366,140.86,146.96,0.6119996150016147
146.96,153.1,1.1095047671244673,147.93,154.05,0.415505158329325,146.96,153.1,0.6939996087951422
153.1,159.41,1.046176646037295,154.05,160.42,0.4241775721726922,153.1,159.41,0.6219990738646027
159.41,164.88,0.9100560850835296,160.42,165.84,0.22405646715809313,159.41,164.88,0.6859996179254365
164.88,170.34,0.9028545316056569,165.84,171.28,0.21885568079943923,164.88,170.34,0.6839988508062176
170.34,175.95,0.8550099559230695,171.28,177.0,0.2429748895235442,170.34,175.95,0.6120350663995253
175.95,181.02,0.9329982770762193,177.0,182.69,0.24699932656057388,175.95,181.02,0.6859989505156454
181.02,187.18,0.898888296526343,182.69,188.21,0.2448886884462064,181.02,187.18,0.6539996080801366
187.18,193.29,0.6549688225887494,188.21,194.27,0.13197001461946278,187.18,193.29,0.5229988079692867
193.29,198.91,0.7569512790625244,194.27,200.05,0.25196817480989936,193.29,198.91,0.504983104252625
198.91,208.67,0.5027079318948504,200.05,203.6,0.06370840279651321,198.91,208.67,0.43899952909833717
208.67,213.26,0.6757298856727533,209.73,214.36,0.13973096174956934,208.67,213.26,0.5359989239231839
213.26,218.81,0.7995199273914737,214.36,219.91,0.22552032504386574,213.26,218.81,0.5739996023476079
218.81,223.85,0.6508682143733414,219.91,224.77,0.08186939251039345,218.81,223.85,0.5689988218629479
223.85,229.78,0.9520444245545979,224.77,230.73,0.28604508204561785,223.85,229.78,0.6659993425089801
229.78,235.62,1.0801025806248028,230.73,236.47,0.376055549854291,229.78,235.62,0.7040470307705118
235.62,241.77,0.9508246303159492,236.47,242.59,0.24082510495096102,235.62,241.77,0.7099995253649882
241.77,247.66,1.19805909901359,242.59,248.54,0.46305956218045086,241.77,247.66,0.7349995368331392
247.66,254.23,1.1203303324132912,248.54,255.11,0.3433307266061265,247.66,254.23,0.7769996058071645
254.23,260.51,1.026499722186198,255.11,261.4,0.2855001306527879,254.23,260.51,0.7409995915334101
260.51,266.61,0.911135097719313,261.4,267.58,0.2431356105156425,260.51,266.61,0.6679994872036705
266.61,272.98,0.9403526818734752,267.58,273.83,0.20535434082683032,266.61,272.98,0.7349983410466449
272.98,278.86,1.1419085494563568,273.83,279.79,0.35390894991128624,272.98,278.86,0.7879995995450706
278.86,284.61,0.9511264915521263,279.79,285.83,0.22512687795169625,278.86,284.61,0.72599961360043
284.61,290.66,0.9892553815866472,285.83,291.61,0.18325711131122918,284.61,290.66,0.805998270275418
290.66,296.46,0.8708148348874474,291.61,297.49,0.1748153653102228,290.66,296.46,0.6959994695772246
296.46,302.39,0.9289983016250285,297.49,303.27,0.19399931647246874,296.46,302.39,0.7349989851525598
302.39,307.84,0.8930491989539345,303.27,308.82,0.2240495917012606,302.39,307.84,0.6689996072526739
307.84,313.59,0.7716364373614248,308.82,314.49,0.14163683136588784,307.84,313.59,0.629999605995537
313.59,319.8,0.6927091391520398,314.49,320.83,0.1537095203640073,313.59,319.8,0.5389996187880325
319.8,325.96,0.7980938407883813,320.83,326.9,0.17009423181287672,319.8,325.96,0.6279996089755046
325.96,332.26,0.9570051394862014,326.9,333.23,0.22500587340906092,325.96,332.26,0.7319992660771405
332.26,339.03,1.0184920570883527,333.23,340.06,0.31749317794414117,332.26,339.03,0.7009988791442114
339.03,345.9,1.043388275057321,340.06,346.96,0.3503886645853377,339.03,345.9,0.6929996104719832
345.9,352.72,0.9665983693867204,346.96,353.76,0.3305987585394699,345.9,352.72,0.6359996108472504
352.72,359.28,1.2938074210265103,353.76,360.33,0.5127703319079808,352.72,359.28,0.7810370891185293
359.28,365.99,1.4406618095175978,360.33,366.96,0.4496622129075971,359.28,365.99,0.9909995966100006
365.99,372.35,1.225649055664476,366.96,373.42,0.38564947340909167,365.99,372.35,0.8399995822553842
372.35,378.68,0.8696362399091353,373.42,379.82,0.18663662308894272,372.35,378.68,0.6829996168201926
378.68,385.32,0.642823718592183,379.82,386.38,0.09382415026565526,378.68,385.32,0.5489995683265277
385.32,392.73,0.9462808689173624,386.38,393.69,0.24628173732025704,385.32,392.73,0.6999991315971054
392.73,400.06,1.5014299827968718,393.69,401.03,0.5187713306088112,392.73,400.06,0.9826586521880607
400.06,407.18,1.0592815801961442,401.03,408.09,0.32928196176099067,400.06,407.18,0.7299996184351535
407.18,414.17,1.2537962420929232,408.09,415.01,0.4857966276591246,407.18,414.17,0.7679996144337986
414.17,420.35,1.3962908208929008,415.01,421.29,0.5855686037950639,414.17,420.35,0.8107222170978369
420.35,424.72,1.06300225366312,421.29,427.99,0.29873421891587193,420.35,424.72,0.7642680347472481
424.72,432.72,1.717533697739932,427.99,433.75,0.7986487461921787,424.72,432.72,0.9188849515477532
432.72,438.47,1.0988239616988889,433.75,439.43,0.3388243764500027,432.72,438.47,0.7599995852488861
438.47,443.96,1.1126816885347512,439.43,445.02,0.3656822753765442,438.47,443.96,0.746999413158207
443.96,450.06,1.165509471348657,445.02,450.99,0.3665098687374519,443.96,450.06,0.798999602611205
450.06,456.09,1.1639899537167042,450.99,457.02,0.4169903711991515,450.06,456.09,0.7469995825175526
456.09,461.98,1.188413779442316,457.02,462.97,0.48692788665529857,456.09,461.98,0.7014858927870175
461.98,468.53,1.1831582854877591,462.97,469.64,0.47715865520589906,461.98,468.53,0.7059996302818601
468.53,475.56,1.0622061284159614,469.64,476.33,0.34820656449461324,468.53,475.56,0.7139995639213481
475.56,482.47,2.350842278459508,476.33,483.41,1.1830366886960026,475.56,482.47,1.1678055897635051
482.47,488.74,1.0050185115523547,483.41,488.78,0.26701901860793004,482.47,488.74,0.7379994929444247
488.74,494.09,1.0094748459992566,488.78,495.13,0.28447524074487596,488.74,494.09,0.7249996052543807
494.09,499.42,0.8062728359493285,495.13,500.44,0.14927323122972375,494.09,499.42,0.6569996047196048
499.42,504.74,0.8677103885396469,500.44,505.78,0.1487107834945182,499.42,504.74,0.7189996050451287
504.74,509.31,0.8701772843408178,505.78,510.57,0.13417888999242542,504.74,509.31,0.7359983943483923
509.31,513.47,0.7511774059434699,510.57,516.02,0.08418505607984139,509.31,513.47,0.6669923498636285
513.47,519.73,0.6741599550144497,516.02,520.79,0.07870268221313034,513.47,519.73,0.5954572728013193
519.73,525.42,0.7979325083358881,520.79,526.44,0.18993302215032945,519.73,525.42,0.6079994861855587
525.42,530.58,0.8099527815008793,526.44,531.86,0.15595317257746522,525.42,530.58,0.6539996089234141
530.58,535.51,0.7340731250445129,531.86,536.64,0.07107350672893893,530.58,535.51,0.662999618315574
535.51,540.52,0.8523047227478515,536.64,542.23,0.18925247059924874,535.51,540.52,0.6630522521486027
540.52,545.83,0.6835551301248621,542.23,547.43,0.061906406747315165,540.52,545.83,0.621648723377547
545.83,550.89,0.7296339753108951,547.43,551.95,0.09263437198112834,545.83,550.89,0.6369996033297668
550.89,555.75,0.729184599750029,551.95,556.92,0.08818486102066586,550.89,555.75,0.6409997387293632
555.75,561.06,0.7721124249453754,556.92,562.53,0.1461302185132731,555.75,561.06,0.6259822064321022
561.06,566.89,0.6014251212047781,562.53,568.11,0.07042550128608283,561.06,566.89,0.5309996199186953
566.89,571.6,0.7004001885922728,568.11,573.87,0.10240057753914408,566.89,571.6,0.5979996110531287
571.6,577.38,0.7358415289865902,573.87,579.99,0.17338228479667525,571.6,577.38,0.5624592441899149
577.38,584.04,0.731180618792544,579.99,586.72,0.14218101581156734,577.38,584.04,0.5889996029809768
584.04,592.96,0.8974377914960407,586.72,594.12,0.2354385604670351,584.04,592.96,0.6619992310290056
592.96,600.0,0.9648097574791717,594.12,600.24,0.30581012895997495,592.96,600.0,0.6589996285191968
600.0,607.53,0.8588494806155309,600.24,602.01,0.09084987435003296,600.0,607.53,0.7679996062654979
607.53,614.98,1.4203809432429608,608.62,616.0,0.8248218444569032,607.53,614.98,0.5955590987860576
614.98,621.95,1.0383822015972854,616.0,622.99,0.3033829272470958,614.98,621.95,0.7349992743501897
